Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Distance,Duration_Minutes,Duration_Hours,Route_Type
51411,BAY,BELLARY JN.,DWR,DHARWAD,229,390.0,6.5,Medium
51412,UBL,HUBLI JN.,BAY,BELLARY JN.,208,370.0,6.166666666666667,Medium
51419,MRJ,MIRAJ JN.,UBL,HUBLI JN.,278,450.0,7.5,Medium
51420,UBL,HUBLI JN.,MRJ,MIRAJ JN.,279,445.0,7.416666666666667,Medium
51421,PUNE,PUNE JN.,NZB,NIZAMABAD,769,1210.0,20.166666666666668,Long
51422,NZB,NIZAMABAD,PUNE,PUNE JN.,769,1275.0,21.25,Long
51423,IGP,IGATPURI,MMR,MANMAD JN.,123,170.0,2.8333333333333335,Medium
51424,MMR,MANMAD JN.,IGP,IGATPURI,123,205.0,3.4166666666666665,Medium
51425,PRLI,PARLI VAIJNA,MRJ,MIRAJ JN.,427,655.0,10.916666666666666,Medium
51426,MRJ,MIRAJ JN.,PRLI,PARLI VAIJNA,437,585.0,9.75,Medium
51427,MRJ,MIRAJ JN.,KOP,CHHATRAPATI,47,85.0,1.4166666666666667,Short
51428,KOP,CHHATRAPATI,MRJ,MIRAJ JN.,47,75.0,1.25,Short
51429,SLI,SANGLI,KOP,CHHATRAPATI,54,100.0,1.6666666666666667,Short
51430,KOP,CHHATRAPATI,SLI,SANGLI,54,95.0,1.5833333333333333,Short
51431,MRJ,MIRAJ JN.,LD,LONDA JN.,188,315.0,5.25,Medium
51432,LD,LONDA JN.,MRJ,MIRAJ JN.,188,280.0,4.666666666666667,Medium
51433,NZB,NIZAMABAD,PVR,PANDHARPUR,523,935.0,15.583333333333334,Long
51434,PVR,PANDHARPUR,NZB,NIZAMABAD,511,1025.0,17.083333333333332,Long
51435,PUNE,PUNE JN.,STR,SATARA,145,275.0,4.583333333333333,Medium
51436,STR,SATARA,PUNE,PUNE JN.,145,260.0,4.333333333333333,Medium
51437,KWV,KURDUVADI JN,MRJ,MIRAJ JN.,189,275.0,4.583333333333333,Medium
51438,MRJ,MIRAJ JN.,KWV,KURDUVADI JN,189,260.0,4.333333333333333,Medium
51441,STR,SATARA,KOP,CHHATRAPATI,180,275.0,4.583333333333333,Medium
51442,KOP,CHHATRAPATI,STR,SATARA,180,300.0,5.0,Medium
51451,PUNE,PUNE JN.,BRMT,BARAMATI,120,190.0,3.1666666666666665,Medium
51452,BRMT,BARAMATI,PUNE,PUNE JN.,121,195.0,3.25,Medium
51458,DWR,DHARWAD,UBL,HUBLI JN.,20,45.0,0.75,Short
51461,MRJ,MIRAJ JN.,BGM,BELGAUM,137,205.0,3.4166666666666665,Medium
51462,BGM,BELGAUM,MRJ,MIRAJ JN.,137,190.0,3.1666666666666665,Medium
51463,MRJ,MIRAJ JN.,BGM,BELGAUM,137,205.0,3.4166666666666665,Medium
51464,BGM,BELGAUM,MRJ,MIRAJ JN.,137,210.0,3.5,Medium
51601,BINA,BINA,KMZ,KATNI MURWAR,261,435.0,7.25,Medium
51602,KMZ,KATNI MURWAR,BINA,BINA,264,490.0,8.166666666666666,Medium
51603,BINA,BINA,KTE,KATNI,263,390.0,6.5,Medium
51604,KTE,KATNI,BINA,BINA,266,460.0,7.666666666666667,Medium
